solver,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,tdma_threads,reduced_threads,total_s_max,total_s_avg,compute_s_max,compute_s_avg,comm_s_max,comm_s_avg,pack_s_max,pack_s_avg,local_compute_s_max,local_compute_s_avg,reduced_compute_s_max,reduced_compute_s_avg,update_compute_s_max,update_compute_s_avg,mpi_forward_s_max,mpi_forward_s_avg,mpi_backward_s_max,mpi_backward_s_avg
tdma,1,64,64,2048,4096,2048,2048,0,10,host,128,128,0.002867844,0.002867844,0.002867283,0.002867283,0,0,0,0,0.002867283,0.002867283,0,0,0,0,0,0,0,0
tdma,1,64,64,2048,4096,2048,2048,1,10,host,128,128,0.002600303,0.002600303,0.002600232,0.002600232,0,0,0,0,0.002600232,0.002600232,0,0,0,0,0,0,0,0
tdma,1,64,64,2048,4096,2048,2048,2,10,host,128,128,0.002606682,0.002606682,0.002606622,0.002606622,0,0,0,0,0.002606622,0.002606622,0,0,0,0,0,0,0,0
tdma,1,64,64,2048,4096,2048,2048,3,10,host,128,128,0.00259154,0.00259154,0.00259147,0.00259147,0,0,0,0,0.00259147,0.00259147,0,0,0,0,0,0,0,0
tdma,1,64,64,2048,4096,2048,2048,4,10,host,128,128,0.002603517,0.002603517,0.002603457,0.002603457,0,0,0,0,0.002603457,0.002603457,0,0,0,0,0,0,0,0
tdma,1,64,64,2048,4096,2048,2048,5,10,host,128,128,0.002599702,0.002599702,0.002599642,0.002599642,0,0,0,0,0.002599642,0.002599642,0,0,0,0,0,0,0,0
tdma,1,64,64,2048,4096,2048,2048,6,10,host,128,128,0.002592491,0.002592491,0.002592441,0.002592441,0,0,0,0,0.002592441,0.002592441,0,0,0,0,0,0,0,0
tdma,1,64,64,2048,4096,2048,2048,7,10,host,128,128,0.002605781,0.002605781,0.00260572,0.00260572,0,0,0,0,0.00260572,0.00260572,0,0,0,0,0,0,0,0
tdma,1,64,64,2048,4096,2048,2048,8,10,host,128,128,0.002603527,0.002603527,0.002603467,0.002603467,0,0,0,0,0.002603467,0.002603467,0,0,0,0,0,0,0,0
tdma,1,64,64,2048,4096,2048,2048,9,10,host,128,128,0.002609697,0.002609697,0.002609627,0.002609627,0,0,0,0,0.002609627,0.002609627,0,0,0,0,0,0,0,0
tdma,1,128,128,2048,16384,2048,2048,0,10,host,128,128,0.003084338,0.003084338,0.003083998,0.003083998,0,0,0,0,0.003083998,0.003083998,0,0,0,0,0,0,0,0
tdma,1,128,128,2048,16384,2048,2048,1,10,host,128,128,0.002848976,0.002848976,0.002848916,0.002848916,0,0,0,0,0.002848916,0.002848916,0,0,0,0,0,0,0,0
tdma,1,128,128,2048,16384,2048,2048,2,10,host,128,128,0.002841334,0.002841334,0.002841274,0.002841274,0,0,0,0,0.002841274,0.002841274,0,0,0,0,0,0,0,0
tdma,1,128,128,2048,16384,2048,2048,3,10,host,128,128,0.002847103,0.002847103,0.002847043,0.002847043,0,0,0,0,0.002847043,0.002847043,0,0,0,0,0,0,0,0
tdma,1,128,128,2048,16384,2048,2048,4,10,host,128,128,0.002857358,0.002857358,0.002857288,0.002857288,0,0,0,0,0.002857288,0.002857288,0,0,0,0,0,0,0,0
tdma,1,128,128,2048,16384,2048,2048,5,10,host,128,128,0.002843687,0.002843687,0.002843627,0.002843627,0,0,0,0,0.002843627,0.002843627,0,0,0,0,0,0,0,0
tdma,1,128,128,2048,16384,2048,2048,6,10,host,128,128,0.002843758,0.002843758,0.002843688,0.002843688,0,0,0,0,0.002843688,0.002843688,0,0,0,0,0,0,0,0
tdma,1,128,128,2048,16384,2048,2048,7,10,host,128,128,0.002845821,0.002845821,0.002845751,0.002845751,0,0,0,0,0.002845751,0.002845751,0,0,0,0,0,0,0,0
tdma,1,128,128,2048,16384,2048,2048,8,10,host,128,128,0.002844419,0.002844419,0.002844359,0.002844359,0,0,0,0,0.002844359,0.002844359,0,0,0,0,0,0,0,0
tdma,1,128,128,2048,16384,2048,2048,9,10,host,128,128,0.002843858,0.002843858,0.002843798,0.002843798,0,0,0,0,0.002843798,0.002843798,0,0,0,0,0,0,0,0
tdma,1,128,128,4096,16384,4096,4096,0,10,host,128,128,0.005802388,0.005802388,0.005802068,0.005802068,0,0,0,0,0.005802068,0.005802068,0,0,0,0,0,0,0,0
tdma,1,128,128,4096,16384,4096,4096,1,10,host,128,128,0.005582408,0.005582408,0.005582338,0.005582338,0,0,0,0,0.005582338,0.005582338,0,0,0,0,0,0,0,0
tdma,1,128,128,4096,16384,4096,4096,2,10,host,128,128,0.005591842,0.005591842,0.005591782,0.005591782,0,0,0,0,0.005591782,0.005591782,0,0,0,0,0,0,0,0
tdma,1,128,128,4096,16384,4096,4096,3,10,host,128,128,0.005592023,0.005592023,0.005591961,0.005591961,0,0,0,0,0.005591961,0.005591961,0,0,0,0,0,0,0,0
tdma,1,128,128,4096,16384,4096,4096,4,10,host,128,128,0.00558381,0.00558381,0.00558374,0.00558374,0,0,0,0,0.00558374,0.00558374,0,0,0,0,0,0,0,0
tdma,1,128,128,4096,16384,4096,4096,5,10,host,128,128,0.005586944,0.005586944,0.005586884,0.005586884,0,0,0,0,0.005586884,0.005586884,0,0,0,0,0,0,0,0
tdma,1,128,128,4096,16384,4096,4096,6,10,host,128,128,0.005576809,0.005576809,0.005576739,0.005576739,0,0,0,0,0.005576739,0.005576739,0,0,0,0,0,0,0,0
tdma,1,128,128,4096,16384,4096,4096,7,10,host,128,128,0.005586354,0.005586354,0.005586294,0.005586294,0,0,0,0,0.005586294,0.005586294,0,0,0,0,0,0,0,0
tdma,1,128,128,4096,16384,4096,4096,8,10,host,128,128,0.005574676,0.005574676,0.005574606,0.005574606,0,0,0,0,0.005574606,0.005574606,0,0,0,0,0,0,0,0
tdma,1,128,128,4096,16384,4096,4096,9,10,host,128,128,0.005573264,0.005573264,0.005573204,0.005573204,0,0,0,0,0.005573204,0.005573204,0,0,0,0,0,0,0,0
tdma,2,64,64,2048,4096,1024,1024,0,10,host,128,128,0.030956467,0.0309347995,0.001958409,0.001941494,0.028906982,0.028902525,8.9624e-05,8.9384e-05,0.001511128,0.001508514,2.5458e-05,2.5258e-05,0.000427051,0.000407722,0.024356072,0.024355406,0.00455091,0.004547119
tdma,2,64,64,2048,4096,1024,1024,1,10,host,128,128,0.00934197,0.0089837325,0.001749086,0.0017335025,0.007534477,0.0071926145,5.8067e-05,5.7251e-05,0.001326481,0.001322445,1.1768e-05,1.14975e-05,0.000418909,0.00039956,7.5683e-05,7.1938e-05,0.007458794,0.0071206765
tdma,2,64,64,2048,4096,1024,1024,2,10,host,128,128,0.002895044,0.0028733515,0.001751578,0.0017346275,0.00108642,0.0010823035,5.6756e-05,5.61395e-05,0.001328303,0.0013240165,1.1017e-05,1.07765e-05,0.000420831,0.0003998345,6.6169e-05,6.17175e-05,0.001020921,0.001020586
tdma,2,64,64,2048,4096,1024,1024,3,10,host,128,128,0.001910858,0.001890072,0.001751439,0.0017354845,0.000102074,9.8573e-05,5.7064e-05,5.5733e-05,0.001330527,0.001325945,1.1057e-05,1.09065e-05,0.000419019,0.000398633,6.2815e-05,5.9029e-05,3.9829e-05,3.9544e-05
tdma,2,64,64,2048,4096,1024,1024,4,10,host,128,128,0.001910497,0.0018910625,0.001747412,0.001734358,0.000105849,0.000100626,5.7006e-05,5.58185e-05,0.001328865,0.0013228955,1.1477e-05,1.1362e-05,0.000419009,0.0004001005,6.4747e-05,5.91785e-05,4.1793e-05,4.14475e-05
tdma,2,64,64,2048,4096,1024,1024,5,10,host,128,128,0.001908274,0.0018872925,0.001749626,0.0017312935,0.000100872,9.93595e-05,5.7506e-05,5.6354e-05,0.001323176,0.0013207375,1.1427e-05,1.10365e-05,0.0004199,0.0003995195,6.2875e-05,6.0987e-05,3.8748e-05,3.83725e-05
tdma,2,64,64,2048,4096,1024,1024,6,10,host,128,128,0.001915285,0.0018945035,0.001746761,0.0017360445,0.000111056,0.0001024685,5.7177e-05,5.5694e-05,0.001335884,0.001326375,1.1407e-05,1.11515e-05,0.000418488,0.000398518,7.2989e-05,6.38255e-05,3.9219e-05,3.8643e-05
tdma,2,64,64,2048,4096,1024,1024,7,10,host,128,128,0.00190561,0.001885695,0.001745821,0.001726201,0.000102945,0.000102634,5.7205e-05,5.65845e-05,0.001316156,0.0013160555,1.1207e-05,1.08965e-05,0.000418458,0.000399249,6.4587e-05,6.38805e-05,3.9149e-05,3.87535e-05
tdma,2,64,64,2048,4096,1024,1024,8,10,host,128,128,0.001904698,0.001884954,0.001741884,0.0017299565,0.000104897,9.8432e-05,5.7677e-05,5.63045e-05,0.001328244,0.001321133,1.1267e-05,1.1062e-05,0.000416595,0.0003977615,6.69e-05,5.98745e-05,3.9118e-05,3.85575e-05
tdma,2,64,64,2048,4096,1024,1024,9,10,host,128,128,0.001896997,0.001876737,0.001741443,0.0017246435,9.9269e-05,9.6124e-05,5.6024e-05,5.5689e-05,0.001318089,0.001315024,1.1527e-05,1.11215e-05,0.000417957,0.000398498,5.992e-05,5.71155e-05,3.9349e-05,3.90085e-05
tdma,2,128,128,2048,16384,1024,1024,0,10,host,128,128,0.032237189,0.0322289465,0.002275766,0.0022686905,0.029863547,0.0298607775,0.000101583,9.79115e-05,0.001741644,0.0017392405,2.622e-05,2.5684e-05,0.000507902,0.000503766,0.024575831,0.0245682145,0.005302949,0.005292563
tdma,2,128,128,2048,16384,1024,1024,1,10,host,128,128,0.00381782,0.003816172,0.002051739,0.002051674,0.001704558,0.001704358,6.1622e-05,5.98145e-05,0.001547092,0.00154591,1.1778e-05,1.16825e-05,0.000495233,0.0004940815,0.001625139,0.001623166,8.3365e-05,8.1192e-05
tdma,2,128,128,2048,16384,1024,1024,2,10,host,128,128,0.002351319,0.002347588,0.002059542,0.0020543085,0.000236406,0.0002331205,6.1662e-05,5.98695e-05,0.001550938,0.001549711,1.2489e-05,1.16625e-05,0.000496115,0.000492935,0.000156305,0.0001549375,8.0101e-05,7.8183e-05
tdma,2,128,128,2048,16384,1024,1024,3,10,host,128,128,0.002356657,0.0023538475,0.002062145,0.0020554505,0.000243826,0.0002385825,6.0933e-05,5.95405e-05,0.00155231,0.0015498315,1.2519e-05,1.16475e-05,0.000497316,0.0004939715,0.000163355,0.0001604455,8.0471e-05,7.8137e-05
tdma,2,128,128,2048,16384,1024,1024,4,10,host,128,128,0.002548685,0.002544874,0.002218038,0.0021318,0.000437837,0.000347472,7.3239e-05,6.53025e-05,0.001708323,0.0016267565,1.4311e-05,1.2624e-05,0.000495404,0.0004924195,0.000355163,0.0002687385,8.2674e-05,7.87335e-05
tdma,2,128,128,2048,16384,1024,1024,5,10,host,128,128,0.002348344,0.0023453295,0.002055825,0.002052841,0.000234091,0.0002320885,6.2154e-05,6.011e-05,0.001548174,0.001547738,1.312e-05,1.20635e-05,0.000495403,0.0004930395,0.000154833,0.000153671,8.1582e-05,7.84175e-05
tdma,2,128,128,2048,16384,1024,1024,6,10,host,128,128,0.002343287,0.0023383295,0.002055064,0.0020537025,0.000226791,0.0002249685,6.1171e-05,5.9374e-05,0.001551709,0.001548354,1.2488e-05,1.16725e-05,0.000497577,0.000493676,0.000150226,0.0001471965,7.8979e-05,7.7772e-05
tdma,2,128,128,2048,16384,1024,1024,7,10,host,128,128,0.002356636,0.0023540525,0.002055836,0.0020535215,0.000240322,0.000238809,6.3245e-05,6.14365e-05,0.001549505,0.00154929,1.2409e-05,1.15625e-05,0.000494352,0.000492669,0.000160652,0.000160156,7.967e-05,7.8653e-05
tdma,2,128,128,2048,16384,1024,1024,8,10,host,128,128,0.002344878,0.0023415635,0.002052569,0.002050446,0.000232719,0.0002315775,6.1653e-05,5.92785e-05,0.001545899,0.001544347,1.2889e-05,1.1953e-05,0.000496885,0.000494146,0.000154462,0.0001529895,8.1202e-05,7.8588e-05
tdma,2,128,128,2048,16384,1024,1024,9,10,host,128,128,0.00234534,0.0023418745,0.002054003,0.0020516545,0.000231517,0.0002304955,6.1592e-05,5.94385e-05,0.001546952,0.0015458905,1.2609e-05,1.1823e-05,0.000496565,0.000493941,0.000154832,0.0001533195,7.971e-05,7.7176e-05
tdma,2,128,128,4096,16384,2048,2048,0,10,host,128,128,0.030902827,0.030892376,0.004356868,0.0043485205,0.026446669,0.026444381,0.000102164,9.79925e-05,0.003313953,0.003312005,2.8543e-05,2.7286e-05,0.001014372,0.0010092295,0.022444563,0.022444258,0.004002106,0.004000123
