run_case_id,implementation,mpi_mode,nranks,n1,n2,n3,nsys,nrow_max,stable_iterations,total_s_mean,total_s_std,total_s_iter0,warmup_ratio,compute_s_mean,communication_s_mean,packing_s_mean,throughput_mcells_s,cv_percent,study_tags
np1_64x64x2048_device,cuda-cxx,device,1,64,64,2048,4096,2048,9,0.00260266244444,1.14718970218e-05,0.002867683,1.10182671061,0.0026026,0,0,3223.08719592,0.440775446937,correctness;single_gpu_reference
np1_128x128x4096_device,cuda-cxx,device,1,128,128,4096,16384,4096,9,0.00559079988889,8.95791477472e-06,0.005828867,1.04258194102,0.00559070955556,0,0,12003.4458993,0.160225995434,correctness;single_gpu_reference
np2_64x64x4096_device,cuda-cxx,device,2,64,64,4096,4096,2048,9,0.00377218666667,9.05117642906e-06,0.048015236,12.7287539676,0.00367490377778,4.14998888889e-05,5.71564444444e-05,4447.61022784,0.239945083022,correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity
np2_128x128x2048_device,cuda-cxx,device,2,128,128,2048,16384,1024,9,0.00216706766667,4.05913240822e-05,0.044854012,20.6980209663,0.00205725088889,5.26968888889e-05,6.12243333333e-05,15483.7952299,1.87309905946,correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;weak_nsys_scaling;nrow_sensitivity
np2_128x128x4096_device,cuda-cxx,device,2,128,128,4096,16384,2048,9,0.00422473666667,4.82062523979e-05,0.045242184,10.7088766874,0.00411444466667,5.17218888889e-05,6.04773333333e-05,15884.744848,1.14104750666,correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;nrow_sensitivity;mpi_mode_device_reference
np2_128x128x8192_device,cuda-cxx,device,2,128,128,8192,16384,4096,9,0.00817521144444,4.68097242865e-05,0.04897176,5.99027442076,0.00805968166667,6.17101111111e-05,6.10314444445e-05,16417.6460648,0.572581206059,correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nrow_sensitivity
np2_128x256x4096_device,cuda-cxx,device,2,128,256,4096,32768,2048,9,0.00472045144444,4.89800393352e-05,0.051862569,10.9867815844,0.00459508344444,6.64673333333e-05,6.28222222222e-05,28433.2398245,1.03761345523,correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity
np2_256x256x4096_device,cuda-cxx,device,2,256,256,4096,65536,2048,9,0.00603124211111,4.60794855316e-05,0.056837084,9.42377754912,0.00587833277778,9.31063333333e-05,6.4882e-05,44507.4913351,0.764013194674,correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling
np4_64x64x4096_device,cuda-cxx,device,4,64,64,4096,4096,1024,9,0.00191382755556,1.67420576775e-05,0.098790723,51.6194485304,0.00175239966667,6.84283333333e-05,9.5894e-05,8766.315414,0.874794472936,correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity
np4_128x128x2048_device,cuda-cxx,device,4,128,128,2048,16384,512,9,0.00119928411111,2.92875368478e-05,0.156290412,130.319755387,0.00103363211111,7.5539e-05,9.71476666667e-05,27978.7180445,2.44208495522,correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nrow_sensitivity
