study_tags,run_case_id,study_notes,case_order,study_suite,case_id,nranks,n1,n2,n3,baseline_nranks,scaling_kind,cxx_mpi_modes,notes
"correctness;single_gpu_reference","np1_64x64x2048_device","single GPU small reference",1,custom,custom_np1_64x64x2048,1,64,64,2048,2,custom,device,custom_case
"correctness;single_gpu_reference","np1_128x128x4096_device","single GPU medium reference",2,custom,custom_np1_128x128x4096,1,128,128,4096,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity","np2_64x64x4096_device","small nsys at 2 GPUs",3,custom,custom_np2_64x64x4096,2,64,64,4096,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;weak_nsys_scaling;nrow_sensitivity","np2_128x128x2048_device","2 GPU weak baseline and short nrow",4,custom,custom_np2_128x128x2048,2,128,128,2048,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;nrow_sensitivity;mpi_mode_device_reference","np2_128x128x4096_device","2 GPU central baseline",5,custom,custom_np2_128x128x4096,2,128,128,4096,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nrow_sensitivity","np2_128x128x8192_device","long nrow at 2 GPUs",6,custom,custom_np2_128x128x8192,2,128,128,8192,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity","np2_128x256x4096_device","large nsys at 2 GPUs",7,custom,custom_np2_128x256x4096,2,128,256,4096,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling","np2_256x256x4096_device","large global strong-scaling baseline",8,custom,custom_np2_256x256x4096,2,256,256,4096,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity","np4_64x64x4096_device","small nsys at 4 GPUs",9,custom,custom_np4_64x64x4096,4,64,64,4096,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nrow_sensitivity","np4_128x128x2048_device","short nrow at 4 GPUs",10,custom,custom_np4_128x128x2048,4,128,128,2048,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;weak_nrow_scaling;nsys_sensitivity;nrow_sensitivity;mpi_mode_device_reference","np4_128x128x4096_device","4 GPU central case",11,custom,custom_np4_128x128x4096,4,128,128,4096,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nrow_sensitivity","np4_128x128x8192_device","long nrow at 4 GPUs",12,custom,custom_np4_128x128x8192,4,128,128,8192,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nsys_scaling","np4_128x256x2048_device","weak nsys path at 4 GPUs",13,custom,custom_np4_128x256x2048,4,128,256,2048,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity","np4_128x256x4096_device","large nsys at 4 GPUs",14,custom,custom_np4_128x256x4096,4,128,256,4096,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling","np4_256x256x4096_device","large global strong scaling at 4 GPUs",15,custom,custom_np4_256x256x4096,4,256,256,4096,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity","np8_64x64x4096_device","small nsys at 8 GPUs",16,custom,custom_np8_64x64x4096,8,64,64,4096,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nrow_sensitivity","np8_128x128x2048_device","short nrow at 8 GPUs",17,custom,custom_np8_128x128x2048,8,128,128,2048,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;nrow_sensitivity;mpi_mode_device_reference","np8_128x128x4096_device","8 GPU central case",18,custom,custom_np8_128x128x4096,8,128,128,4096,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;nrow_sensitivity","np8_128x128x8192_device","weak nrow path at 8 GPUs",19,custom,custom_np8_128x128x8192,8,128,128,8192,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity","np8_128x256x4096_device","large nsys at 8 GPUs",20,custom,custom_np8_128x256x4096,8,128,256,4096,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nsys_scaling","np8_128x512x2048_device","weak nsys path at 8 GPUs",21,custom,custom_np8_128x512x2048,8,128,512,2048,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling","np8_256x256x4096_device","large global strong scaling at 8 GPUs",22,custom,custom_np8_256x256x4096,8,256,256,4096,2,custom,device,custom_case
"correctness;total_performance;phase_breakdown;mpi_mode_comparison;host_fallback","np2_128x128x4096_host","C++ host fallback at 2 GPUs",23,custom,custom_np2_128x128x4096,2,128,128,4096,2,custom,host,custom_case
"correctness;total_performance;phase_breakdown;mpi_mode_comparison;host_fallback","np4_128x128x4096_host","C++ host fallback at 4 GPUs",24,custom,custom_np4_128x128x4096,4,128,128,4096,2,custom,host,custom_case
"correctness;total_performance;phase_breakdown;mpi_mode_comparison;host_fallback","np8_128x128x4096_host","C++ host fallback at 8 GPUs",25,custom,custom_np8_128x128x4096,8,128,128,4096,2,custom,host,custom_case
