study_tags,run_case_id,study_notes,case_order,solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,mpi_mode,solution_sum,solution_l2,solution_linf,sample_z0,sample_zmid,sample_zlast,expected_value,max_abs_error_to_expected
"correctness;single_gpu_reference","np1_64x64x2048_device","single GPU small reference",1,tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,device,8388608,2896.309375740099,1.00000000000062,0.9999999999999997,1.000000000000558,1.000000000000002,1,6.197264923457624e-13
"correctness;single_gpu_reference","np1_128x128x4096_device","single GPU medium reference",2,tdma,cuda-cxx,1,128,128,4096,16384,4096,4096,device,67108864.00000001,8192,1.000000000004772,1.000000000000002,1.000000000004766,1.000000000000001,1,4.772404693653698e-12
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity","np2_64x64x4096_device","small nsys at 2 GPUs",3,tdma,cuda-cxx,2,64,64,4096,4096,2048,2048,device,16777216.00000003,4096.000000000015,1.000000000001932,1,1.000000000001796,1.000000000000003,1,1.932454196662547e-12
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;weak_nsys_scaling;nrow_sensitivity","np2_128x128x2048_device","2 GPU weak baseline and short nrow",4,tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,device,33554432,5792.618751480197,1.000000000000057,0.9999999999999991,0.9999999999999664,1.000000000000001,1,2.94542168433054e-13
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;nrow_sensitivity;mpi_mode_device_reference","np2_128x128x4096_device","2 GPU central baseline",5,tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,device,67108864.00000003,8192.000000000007,1.000000000001932,1,1.000000000001796,1.000000000000003,1,1.932454196662547e-12
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nrow_sensitivity","np2_128x128x8192_device","long nrow at 2 GPUs",6,tdma,cuda-cxx,2,128,128,8192,16384,4096,4096,device,134217728.0000005,11585.23750296048,1.00000000000886,1.000000000000004,1.00000000000703,1.000000000000003,1,8.860245870323524e-12
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity","np2_128x256x4096_device","large nsys at 2 GPUs",7,tdma,cuda-cxx,2,128,256,4096,32768,2048,2048,device,134217728.0000001,11585.2375029604,1.000000000001932,1,1.000000000001796,1.000000000000003,1,1.932454196662547e-12
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling","np2_256x256x4096_device","large global strong-scaling baseline",8,tdma,cuda-cxx,2,256,256,4096,65536,2048,2048,device,268435456.0000001,16384,1.000000000001932,1,1.000000000001796,1.000000000000003,1,1.932454196662547e-12
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity","np4_64x64x4096_device","small nsys at 4 GPUs",9,tdma,cuda-cxx,4,64,64,4096,4096,1024,1024,device,16777216,4096,1.000000000000061,0.9999999999999991,0.9999999999999303,1.000000000000001,1,3.461675390781238e-13
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nrow_sensitivity","np4_128x128x2048_device","short nrow at 4 GPUs",10,tdma,cuda-cxx,4,128,128,2048,16384,512,512,device,33554431.99999993,5792.618751480173,0.9999999999999978,0.9999999999999978,0.9999999999986641,0.999999999999997,1,1.341926569864427e-12
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;weak_nrow_scaling;nsys_sensitivity;nrow_sensitivity;mpi_mode_device_reference","np4_128x128x4096_device","4 GPU central case",11,tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,device,67108863.99999999,8191.999999999999,1.000000000000061,0.9999999999999991,0.9999999999999303,1.000000000000001,1,3.461675390781238e-13
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nrow_sensitivity","np4_128x128x8192_device","long nrow at 4 GPUs",12,tdma,cuda-cxx,4,128,128,8192,16384,2048,2048,device,134217728.0000013,11585.23750296061,1.000000000007399,1.000000000000002,1.000000000007266,1.000000000000005,1,7.398748280706968e-12
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nsys_scaling","np4_128x256x2048_device","weak nsys path at 4 GPUs",13,tdma,cuda-cxx,4,128,256,2048,32768,512,512,device,67108863.99999993,8191.999999999983,0.9999999999999978,0.9999999999999978,0.9999999999986641,0.999999999999997,1,1.341926569864427e-12
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity","np4_128x256x4096_device","large nsys at 4 GPUs",14,tdma,cuda-cxx,4,128,256,4096,32768,1024,1024,device,134217728,11585.23750296039,1.000000000000061,0.9999999999999991,0.9999999999999303,1.000000000000001,1,3.461675390781238e-13
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling","np4_256x256x4096_device","large global strong scaling at 4 GPUs",15,tdma,cuda-cxx,4,256,256,4096,65536,1024,1024,device,268435456,16384,1.000000000000061,0.9999999999999991,0.9999999999999303,1.000000000000001,1,3.461675390781238e-13
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity","np8_64x64x4096_device","small nsys at 8 GPUs",16,tdma,cuda-cxx,8,64,64,4096,4096,512,512,device,16777215.99999795,4095.999999998997,0.9999999999999952,0.9999999999999952,0.9999999999947889,0.9999999999999944,1,5.217604126528386e-12
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nrow_sensitivity","np8_128x128x2048_device","short nrow at 8 GPUs",17,tdma,cuda-cxx,8,128,128,2048,16384,256,256,device,33554432,5792.618751480198,1.000000000000147,0.9999999999999996,1.000000000000108,1.000000000000001,1,1.467714838554457e-13
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;nrow_sensitivity;mpi_mode_device_reference","np8_128x128x4096_device","8 GPU central case",18,tdma,cuda-cxx,8,128,128,4096,16384,512,512,device,67108863.99999794,8191.999999999498,0.9999999999999952,0.9999999999999952,0.9999999999947889,0.9999999999999944,1,5.217604126528386e-12
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;nrow_sensitivity","np8_128x128x8192_device","weak nrow path at 8 GPUs",19,tdma,cuda-cxx,8,128,128,8192,16384,1024,1024,device,134217728,11585.23750296039,1.000000000000037,0.9999999999999991,0.9999999999997249,1.000000000000001,1,6.311617894994015e-13
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity","np8_128x256x4096_device","large nsys at 8 GPUs",20,tdma,cuda-cxx,8,128,256,4096,32768,512,512,device,134217727.9999979,11585.23750296004,0.9999999999999952,0.9999999999999952,0.9999999999947889,0.9999999999999944,1,5.217604126528386e-12
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nsys_scaling","np8_128x512x2048_device","weak nsys path at 8 GPUs",21,tdma,cuda-cxx,8,128,512,2048,65536,256,256,device,134217728,11585.2375029604,1.000000000000147,0.9999999999999996,1.000000000000108,1.000000000000001,1,1.467714838554457e-13
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling","np8_256x256x4096_device","large global strong scaling at 8 GPUs",22,tdma,cuda-cxx,8,256,256,4096,65536,512,512,device,268435455.9999979,16383.99999999975,0.9999999999999952,0.9999999999999952,0.9999999999947889,0.9999999999999944,1,5.217604126528386e-12
"correctness;total_performance;phase_breakdown;mpi_mode_comparison;host_fallback","np2_128x128x4096_host","C++ host fallback at 2 GPUs",23,tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,host,67108864.00000003,8192.000000000007,1.000000000001932,1,1.000000000001796,1.000000000000003,1,1.932454196662547e-12
"correctness;total_performance;phase_breakdown;mpi_mode_comparison;host_fallback","np4_128x128x4096_host","C++ host fallback at 4 GPUs",24,tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,host,67108863.99999999,8191.999999999999,1.000000000000061,0.9999999999999991,0.9999999999999303,1.000000000000001,1,3.461675390781238e-13
"correctness;total_performance;phase_breakdown;mpi_mode_comparison;host_fallback","np8_128x128x4096_host","C++ host fallback at 8 GPUs",25,tdma,cuda-cxx,8,128,128,4096,16384,512,512,host,67108863.99999794,8191.999999999498,0.9999999999999952,0.9999999999999952,0.9999999999947889,0.9999999999999944,1,5.217604126528386e-12
