study_tags,run_case_id,study_notes,case_order,solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
"correctness;single_gpu_reference","np1_64x64x2048_device","single GPU small reference",1,tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,0,10,device,0.002867683,0.002867683,0.002867362,0,0,0,0,0,0,0,0,0.002867362,0,0
"correctness;single_gpu_reference","np1_64x64x2048_device","single GPU small reference",1,tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,1,10,device,0.0026189,0.0026189,0.00261881,0,0,0,0,0,0,0,0,0.00261881,0,0
"correctness;single_gpu_reference","np1_64x64x2048_device","single GPU small reference",1,tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,2,10,device,0.002597588,0.002597588,0.002597528,0,0,0,0,0,0,0,0,0.002597528,0,0
"correctness;single_gpu_reference","np1_64x64x2048_device","single GPU small reference",1,tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,3,10,device,0.002595145,0.002595145,0.002595085,0,0,0,0,0,0,0,0,0.002595085,0,0
"correctness;single_gpu_reference","np1_64x64x2048_device","single GPU small reference",1,tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,4,10,device,0.002591839,0.002591839,0.002591779,0,0,0,0,0,0,0,0,0.002591779,0,0
"correctness;single_gpu_reference","np1_64x64x2048_device","single GPU small reference",1,tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,5,10,device,0.002603357,0.002603357,0.002603306,0,0,0,0,0,0,0,0,0.002603306,0,0
"correctness;single_gpu_reference","np1_64x64x2048_device","single GPU small reference",1,tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,6,10,device,0.002619872,0.002619872,0.002619812,0,0,0,0,0,0,0,0,0.002619812,0,0
"correctness;single_gpu_reference","np1_64x64x2048_device","single GPU small reference",1,tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,7,10,device,0.002610878,0.002610878,0.002610817,0,0,0,0,0,0,0,0,0.002610817,0,0
"correctness;single_gpu_reference","np1_64x64x2048_device","single GPU small reference",1,tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,8,10,device,0.002597999,0.002597999,0.002597939,0,0,0,0,0,0,0,0,0.002597939,0,0
"correctness;single_gpu_reference","np1_64x64x2048_device","single GPU small reference",1,tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,9,10,device,0.002588384,0.002588384,0.002588324,0,0,0,0,0,0,0,0,0.002588324,0,0
"correctness;single_gpu_reference","np1_128x128x4096_device","single GPU medium reference",2,tdma,cuda-cxx,1,128,128,4096,16384,4096,4096,0,10,device,0.005828867,0.005828867,0.005828566,0,0,0,0,0,0,0,0,0.005828566,0,0
"correctness;single_gpu_reference","np1_128x128x4096_device","single GPU medium reference",2,tdma,cuda-cxx,1,128,128,4096,16384,4096,4096,1,10,device,0.005612773,0.005612773,0.005612452,0,0,0,0,0,0,0,0,0.005612452,0,0
"correctness;single_gpu_reference","np1_128x128x4096_device","single GPU medium reference",2,tdma,cuda-cxx,1,128,128,4096,16384,4096,4096,2,10,device,0.005593144,0.005593144,0.005593083,0,0,0,0,0,0,0,0,0.005593083,0,0
"correctness;single_gpu_reference","np1_128x128x4096_device","single GPU medium reference",2,tdma,cuda-cxx,1,128,128,4096,16384,4096,4096,3,10,device,0.005586764,0.005586764,0.005586704,0,0,0,0,0,0,0,0,0.005586704,0,0
"correctness;single_gpu_reference","np1_128x128x4096_device","single GPU medium reference",2,tdma,cuda-cxx,1,128,128,4096,16384,4096,4096,4,10,device,0.005587785,0.005587785,0.005587725,0,0,0,0,0,0,0,0,0.005587725,0,0
"correctness;single_gpu_reference","np1_128x128x4096_device","single GPU medium reference",2,tdma,cuda-cxx,1,128,128,4096,16384,4096,4096,5,10,device,0.005589287,0.005589287,0.005589228,0,0,0,0,0,0,0,0,0.005589228,0,0
"correctness;single_gpu_reference","np1_128x128x4096_device","single GPU medium reference",2,tdma,cuda-cxx,1,128,128,4096,16384,4096,4096,6,10,device,0.005588516,0.005588516,0.005588446,0,0,0,0,0,0,0,0,0.005588446,0,0
